route_id,route_name
227000045,배알미-01
233000062,11-4
227000039,9303-1
215000017,59
234001578,17-1A
234001567,21-19
234001661,2-3
241006570,8720부천-포항
240000121,4-5
234001722,155
241006490,8512부천-목포
215000026,1-1
215000027,1-2
215000208,91-3
224000007,25
215000063,61-1
224000051,13
228000113,9-1
232000132,김포똑버스01
236000225,69
213000026,77
236000023,73
204000020,33
216000005,30-7
234000435,21-31
234000436,21-3
200000078,62-1
230000128,21-1
234000441,20-54
240000171,40-10
216000012,70
216000015,314
213000012,100
216000018,31-3
234001615,20-42
234001110,29-70
234001472,20-41
216000022,78
233000087,42
216000024,78-1
216000025,72-1
241006680,8359고양-유성
200000265,30-1
216000032,33-1
234001509,35-17
234001732,933
241004230,3002동서울-와수리
241000830,1801인천-동서울
232000118,G6005
234001042,36-5
241000060,8329부천-진천
200000280,59
216000048,3-1
241000010,1329서초-진천
216000050,6-1
241007137,1329-1남부-죽산
216000052,1-1
216000053,2-1
241000330,8344고양-논산
216000056,5B
216000057,88-1
216000058,88-1
216000059,33-2
241006170,8317안산-천안
216000062,8848
241006180,8307시흥-대전
216000065,511-1
234000027,6900
204000087,3-2
234001690,1311A
218000042,017A
241007239,1323-1
215000212,81-3
217000011,5601
228000263,5007
229000257,19-4
204000089,3
217000006,61
218000004,05
216000011,55
204000088,3-1
231000099,50-8
230000127,21-2
231000056,50-7
218000016,37
204000143,73맞춤형
204000092,73-1
218000023,043
218000024,025
231000054,50-6
231000053,50-5
241007025,3305청주-충주
231000050,50-3
218000025,026
218000026,036
218000027,037
218000028,058
218000029,059
218000030,060
218000031,065
218000032,057
218000033,062
218000034,056(도촌)
218000035,056(멱절)
218000036,056(서촌)
218000037,061
218000038,015
218000039,018
218000040,019
218000041,016
218000043,013
218000044,077
218000045,076
218000046,093
218000047,094
218000048,011
218000049,012
218000050,066
218000051,068
218000052,069
218000053,090
218000054,091
218000055,032
218000056,031
218000057,035
218000058,030
218000060,023
218000061,024A
218000062,027
218000063,028
218000064,029
218000065,072
218000066,071
218000067,073
218000068,074
218000069,079
215000060,52-4
215000090,59-1
215000091,59-2
215000093,52-3
215000006,51-1
215000095,56-4
222000183,8-8
215000097,57-3
215000098,56-5
215000099,56-6
215000100,54-5
215000105,60-6
215000107,1-12
215000108,51-8
215000109,51-9
215000110,51-11
215000112,51-13
215000113,60-7
215000114,60-8
215000117,60-10
215000120,2-2
215000121,2-3
215000123,2-5
231000075,2-8
215000125,2-7
215000126,57-4
215000127,1-13
215000128,53-2
234001728,35-30
231000047,100-2
233000372,P9601(퇴근)
215000132,55-8
233000080,21
241006580,7000
215000135,55-11
233000267,28
233000027,3-1
241007165,7000A
214000035,96-1
232000109,33-1
214000149,22
214000042,21
241002220,8305이천-대전
241006881,8306여주-대전
233000272,8472
215000154,1-14
215000155,59-3
215000156,59-4
239000145,15-3
239000112,15
215000159,53-14
215000160,39-5
215000161,57-5
241006799,5801여수-고양
225000011,32B
222000196,7-9
233000047,8-3
215000167,60-9
229000020,80
217000010,35
216000017,33
215000172,54-2
215000173,53-2
215000174,51-7
215000175,51-10
